title,price,make,model,yom,mileage,engine_cc,location,url,scrape_date
Bajaj Pulsar 220F 2012,537000,Bajaj,Pulsar 220F,2012,65000,220,Anuradhapura,https://ikman.lk/en/ad/bajaj-pulsar-220f-2012-for-sale-anuradhapura,2026-02-21
Bajaj Pulsar NS200 2019,920000,Bajaj,Pulsar NS200,2019,40000,200,Ampara,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2018-2019-for-sale-ampara,2026-02-21
Hero Dash 2017,300000,Hero,Dash,2017,43000,110,Gampaha,https://ikman.lk/en/ad/2017-for-sale-gampaha-3,2026-02-21
Bajaj Boxer 2001,60000,Bajaj,Boxer,2001,100000,100,Kurunegala,https://ikman.lk/en/ad/bajaj-boxer-2001-for-sale-kurunegala-21,2026-02-21
Bajaj CT100 2025,530000,Bajaj,CT100,2025,6000,100,Galle,https://ikman.lk/en/ad/bajaj-ct100-2025-for-sale-galle-38,2026-02-21
Bajaj Pulsar NS200 ES 2025,490110,Bajaj,Pulsar NS200,2025,0,200,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-ns200-es-2025-for-sale-colombo-13,2026-02-21
Bajaj Pulsar NS200 2015,595000,Bajaj,Pulsar NS200,2015,35000,200,Kegalle,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2015-for-sale-kegalle-12,2026-02-21
Bajaj Pulsar N160 Premium 2025,470110,Bajaj,Pulsar N160,2025,0,160,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-2025-for-sale-colombo-644,2026-02-21
Bajaj Pulsar NS200 2018,920000,Bajaj,Pulsar NS200,2018,60000,200,Ampara,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2018-regiterd-for-sale-ampara,2026-02-21
Yamaha Mate V50 1998,55000,Yamaha,Mate,1998,95000,50,Gampaha,https://ikman.lk/en/ad/yamaha-mate-v50-1998-for-sale-gampaha,2026-02-21
Bajaj Pulsar NS200 ES 2025,490110,Bajaj,Pulsar NS200,2025,0,200,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-ns200-es-2025-for-sale-colombo-12,2026-02-21
Honda Dio 2018,565000,Honda,Dio,2018,52156,110,Kandy,https://ikman.lk/en/ad/honda-dio-2018-for-sale-kandy-1395,2026-02-21
Bajaj Pulsar NS200 Premium 2025,490110,Bajaj,Pulsar NS200,2025,0,200,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-ns200-premium-2025-for-sale-colombo,2026-02-21
Bajaj Pulsar 220F 2011,420000,Bajaj,Pulsar 220F,2011,60000,220,Jaffna,https://ikman.lk/en/ad/bajaj-pulsar-220f-super-bike-2011-for-sale-jaffna,2026-02-21
TVS Wego 2012,355500,TVS,Wego,2012,30000,110,Jaffna,https://ikman.lk/en/ad/tvs-wego-2012-for-sale-jaffna-111,2026-02-21
Bajaj CT100 ES 2025,184360,Bajaj,CT100,2025,0,100,Colombo,https://ikman.lk/en/ad/bajaj-ct100-es-2025-for-sale-colombo-406,2026-02-21
TVS Ntorq 125 Brand New 2026,158500,TVS,Ntorq 125,2026,0,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-566,2026-02-21
TVS Ntorq 125 2021,158500,TVS,Ntorq 125,2021,0,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-125-2021-for-sale-colombo-23,2026-02-21
