title,price,make,model,yom,mileage,engine_cc,location
TVS Raider 125 2025,700000,Tvs,Raider 125,2025,21000,125,Colombo
Yamaha Ray ZR Street Rally Hybrid 2025,256470,Yamaha,Ray Zr,2025,0,125,Gampaha
Yamaha Fzs V4 2025,368970,Yamaha,Fzs V4,2025,0,150,Gampaha
Yamaha Ray ZR DISC 125 2025,247470,Yamaha,Ray Zr,2025,0,125,Gampaha
Bajaj CT100 ES 100 New CTES 2025,258975,Bajaj,Ct100,2025,0,100,Colombo
Bajaj CT100 2026,174000,Bajaj,Ct100,2026,0,100,Kegalle
Yamaha Ray ZR STREET RALLY 2025,256470,Yamaha,Ray Zr,2025,0,125,Gampaha
TVS Ntorq 125 Brand New 2026,156800,Tvs,Ntorq 125,2026,0,125,Gampaha
Demak DTM 2016,170000,Demak,Dtm,2016,12354,150,Kandy
Hero Dash 2016,225000,Hero,Dash,2016,85000,125,Gampaha
Bajaj Platina 2007,150000,Bajaj,Platina,2007,90000,100,Kandy
Bajaj Platina 100 2008,215000,Bajaj,Platina,2008,59200,100,Colombo
Bajaj Aspire NS 400 2026,2100000,Bajaj,Aspire,2026,130,400,Vavuniya
TVS Ntorq 125 2026,155900,Tvs,Ntorq 125,2026,0,125,Colombo
Bajaj CT100 2026,577950,Bajaj,Ct100,2026,0,100,Kalutara
Demak DZM 2014,195000,Demak,Dzm,2014,55000,200,Kandy
TVS Scooty Pep+ 2010,55000,Tvs,Scooty Pep+,2010,69000,100,Gampaha
Hero XOOM 125R 2026,248000,Hero,Xoom 125R,2026,3,125,Gampaha
Yamaha Ray ZR speed Really 2019,515000,Yamaha,Ray Zr,2019,69500,125,Kurunegala
Yamaha MT 15 2025,1452000,Yamaha,Mt 15,2025,8100,155,Jaffna
Hero Dawn Cd 2006,190000,Hero,Dawn,2006,161950,100,Kurunegala
Kawasaki Ninja 250 2023,4500000,Kawasaki,Ninja 250,2023,3029,250,Kurunegala
Bajaj Pulsar 150 2018,145000,Bajaj,Pulsar 150,2018,65000,150,Kurunegala
TVS Ntorq Race Edition 2019,575000,Tvs,Ntorq,2019,53000,125,Matara
